,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13
120,2267968,Kung Fu Panda 3,143528619,377642206,41282042,PG,59,Twentieth Century Fox,Alessandro Carloni,Jack Black,Bryan Cranston,4,0,1,0,1,0,0,0,1,0,0,0,1,0
121,2872732,Lucy,126663600,332200000,43899340,R,53,Universal Pictures,Luc Besson,Scarlett Johansson,Morgan Freeman,6,0,0,0,0,1,0,0,1,0,0,0,0,0
122,1142988,The Ugly Truth,88915214,232767386,27605576,R,76,Sony Pictures Entertainment (SPE),Robert Luketic,Katherine Heigl,Gerard Butler,11,0,0,1,0,0,0,0,0,0,1,0,0,0
123,1477715,This Is It,72091016,189092572,23234394,PG,60,Sony Pictures Entertainment (SPE),Kenny Ortega,Michael Jackson,Alex Al,11,0,0,1,0,0,0,0,0,0,0,0,1,0
124,1646987,Wrath of the Titans,83670083,218300000,33457188,PG-13,52,Warner Bros.,Jonathan Liebesman,Sam Worthington,Liam Neeson,8,1,1,0,0,0,0,1,1,0,0,0,0,1
125,4912910,Mission: Impossible - Fallout,220159104,570961322,61236534,PG-13,57,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Henry Cavill,2,0,1,0,0,0,0,0,1,0,0,0,0,1
126,1025100,Gemini Man,48546770,124922746,20552372,PG-13,57,Paramount Pictures,Ang Lee,Will Smith,Mary Elizabeth Winstead,1,0,0,0,0,0,0,0,1,0,0,0,0,1
127,1959490,Noah,101200044,258000000,43720472,PG-13,50,Paramount Pictures,Darren Aronofsky,Russell Crowe,Jennifer Connelly,6,0,0,0,0,0,0,0,1,0,0,0,0,1
128,6095472,The Angry Birds Movie 2,41667116,106124931,10354073,PG,76,Sony Pictures Entertainment (SPE),Thurop Van Orman,Jason Sudeikis,Josh Gad,1,0,1,1,0,0,0,0,0,1,0,0,1,0
129,3691740,The BFG,55483770,139759641,18775350,PG,58,Walt Disney Studios Motion Pictures,Steven Spielberg,Mark Rylance,Ruby Barnhill,4,1,0,0,0,0,1,0,0,1,0,0,1,0
130,1201607,Harry Potter and the Deathly Hallows: Part 2,381409310,960783523,169189427,PG-13,60,Warner Bros.,David Yates,Daniel Radcliffe,Emma Watson,9,0,1,0,0,0,0,1,0,1,0,0,0,1
131,3411444,Ferdinand,84410380,211658819,13401586,PG,69,Twentieth Century Fox,Carlos Saldanha,John Cena,Kate McKinnon,3,1,0,0,1,0,0,0,0,1,0,0,1,0
132,1646971,How to Train Your Dragon 2,177002924,444534595,49451322,PG,55,Twentieth Century Fox,Dean DeBlois,Jay Baruchel,Cate Blanchett,6,0,1,0,1,0,0,0,1,0,0,0,1,0
133,830515,Quantum of Solace,168368427,421212055,67528882,PG-13,81,Sony Pictures Entertainment (SPE),Marc Forster,Daniel Craig,Olga Kurylenko,12,1,1,1,0,0,0,0,1,0,0,0,0,1
134,3741700,Godzilla: King of the Monsters,110500138,276100000,47776293,PG-13,44,Warner Bros.,Michael Dougherty,Kyle Chandler,Vera Farmiga,1,0,1,0,0,0,0,1,1,0,0,0,0,1
135,3385516,X-Men: Apocalypse,155442489,388491616,65769562,PG-13,43,Twentieth Century Fox,Bryan Singer,James McAvoy,Michael Fassbender,4,0,1,0,1,0,0,0,1,0,0,0,0,1
136,1872181,The Amazing Spider-Man 2,202853933,506128390,91608337,PG-13,57,Sony Pictures Entertainment (SPE),Marc Webb,Andrew Garfield,Emma Stone,6,0,1,1,0,0,0,0,1,0,0,0,0,1
137,433035,Real Steel,85468508,213800000,27319677,PG-13,51,Walt Disney Studios Motion Pictures,Shawn Levy,Hugh Jackman,Evangeline Lilly,9,1,0,0,0,0,1,0,1,0,0,0,0,1
138,2381249,Mission: Impossible - Rogue Nation,195042377,487674259,55520089,PG-13,64,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,5,0,1,0,0,0,0,0,1,0,0,0,0,1
139,382625,The Da Vinci Code,217536138,542470807,77073388,PG-13,71,Sony Pictures Entertainment (SPE),Ron Howard,Tom Hanks,Audrey Tautou,14,1,0,1,0,0,0,0,0,0,0,0,0,1
