id,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,domestic_opening_gross,rating,foreign_market_count,genres,distributor,director,actor_1,actor_2,IMDB_link
0837562,/title/tt0837562/?ref_=bo_cso_table_172,373,Hotel Transylvania,"$358,375,603","$148,313,048",41.4%,"$210,062,555",58.6%,2012,"$42,522,194",PG,57,"Animation
    
        Comedy
    
        Family
    
        Fantasy",Sony Pictures Entertainment (SPE),Genndy Tartakovsky,Adam Sandler,Kevin James,https://pro.imdb.com/title/tt0837562
0181689,/title/tt0181689/?ref_=bo_cso_table_173,374,Minority Report,"$358,372,926","$132,072,926",36.8%,"$226,300,000",63.2%,2002,"$35,677,125",PG-13,28,"Action
    
        Crime
    
        Mystery
    
        Sci-Fi
    
        Thriller",Twentieth Century Fox,Steven Spielberg,Tom Cruise,Colin Farrell,https://pro.imdb.com/title/tt0181689
5311514,/title/tt5311514/?ref_=bo_cso_table_174,375,Your Name.,"$357,986,087","$5,017,246",1.4%,"$352,968,841",98.6%,2016,"$1,813,781",PG,21,"Animation
    
        Drama
    
        Fantasy
    
        Romance",FUNimation Entertainment,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,https://pro.imdb.com/title/tt5311514
0092099,/title/tt0092099/?ref_=bo_cso_table_175,376,Top Gun,"$356,830,601","$179,800,601",50.4%,"$177,030,000",49.6%,1986,"$8,193,052",,Do,"Action
    
        Drama",Paramount Pictures,Tony Scott,Tom Cruise,Tim Robbins,https://pro.imdb.com/title/tt0092099
0918940,/title/tt0918940/?ref_=bo_cso_table_176,377,The Legend of Tarzan,"$356,700,357","$126,643,061",35.5%,"$230,057,296",64.5%,2016,"$38,527,856",PG-13,38,"Action
    
        Adventure
    
        Drama
    
        Fantasy
    
        Romance",Warner Bros.,David Yates,Alexander Skarsgård,Rory J. Saper,https://pro.imdb.com/title/tt0918940
0169547,/title/tt0169547/?ref_=bo_cso_table_177,378,American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%,1999,"$861,531",R,5,Drama,DreamWorks Distribution,Sam Mendes,Kevin Spacey,Annette Bening,https://pro.imdb.com/title/tt0169547
0245429,/title/tt0245429/?ref_=bo_cso_table_178,379,Spirited Away,"$355,467,076","$13,750,644",3.9%,"$341,716,432",96.1%,2001,"$449,839",PG,21,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Mystery",Walt Disney Studios Motion Pictures,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,https://pro.imdb.com/title/tt0245429
0112384,/title/tt0112384/?ref_=bo_cso_table_179,380,Apollo 13,"$355,237,933","$173,837,933",48.9%,"$181,400,000",51.1%,1995,"$25,353,380",PG,Do,"Adventure
    
        Drama
    
        History",Universal Pictures,Ron Howard,Tom Hanks,Bill Paxton,https://pro.imdb.com/title/tt0112384
0095953,/title/tt0095953/?ref_=bo_cso_table_180,381,Rain Man,"$354,825,435","$172,825,435",48.7%,"$182,000,000",51.3%,1988,"$7,005,719",,0,Drama,Metro-Goldwyn-Mayer (MGM),Barry Levinson,Dustin Hoffman,Tom Cruise,https://pro.imdb.com/title/tt0095953
1343092,/title/tt1343092/?ref_=bo_cso_table_181,382,The Great Gatsby,"$353,641,895","$144,840,419",41%,"$208,801,476",59%,2013,"$50,085,185",PG-13,55,"Drama
    
        Romance",Warner Bros.,Baz Luhrmann,Leonardo DiCaprio,Carey Mulligan,https://pro.imdb.com/title/tt1343092
3861390,/title/tt3861390/?ref_=bo_cso_table_182,383,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019,"$45,990,748",PG,55,"Adventure
    
        Family
    
        Fantasy",Walt Disney Studios Motion Pictures,Tim Burton,Colin Farrell,Michael Keaton,https://pro.imdb.com/title/tt3861390
0343818,/title/tt0343818/?ref_=bo_cso_table_183,384,"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%,2004,"$52,179,887",PG-13,63,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller",Twentieth Century Fox,Alex Proyas,Will Smith,Bridget Moynahan,https://pro.imdb.com/title/tt0343818
0103772,/title/tt0103772/?ref_=bo_cso_table_184,385,Basic Instinct,"$352,927,224","$117,727,224",33.4%,"$235,200,000",66.6%,1992,"$15,129,385",R,0,"Drama
    
        Mystery
    
        Thriller",TriStar Pictures,Paul Verhoeven,Michael Douglas,Sharon Stone,https://pro.imdb.com/title/tt0103772
3402236,/title/tt3402236/?ref_=bo_cso_table_185,386,Murder on the Orient Express,"$352,794,081","$102,826,543",29.2%,"$249,967,538",70.8%,2017,"$28,681,472",PG-13,70,"Crime
    
        Drama
    
        Mystery",Twentieth Century Fox,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,https://pro.imdb.com/title/tt3402236
1270798,/title/tt1270798/?ref_=bo_cso_table_186,387,X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011,"$55,101,604",PG-13,63,"Action
    
        Adventure
    
        Sci-Fi",Twentieth Century Fox,Matthew Vaughn,James McAvoy,Michael Fassbender,https://pro.imdb.com/title/tt1270798
1985949,/title/tt1985949/?ref_=bo_cso_table_187,388,The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%,2016,"$38,155,177",PG,76,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family",Sony Pictures Entertainment (SPE),Clay Kaytis,Jason Sudeikis,Josh Gad,https://pro.imdb.com/title/tt1985949
0113189,/title/tt0113189/?ref_=bo_cso_table_188,389,GoldenEye,"$352,194,034","$106,429,941",30.2%,"$245,764,093",69.8%,1995,"$26,205,007",PG-13,0,"Action
    
        Adventure
    
        Thriller",Metro-Goldwyn-Mayer (MGM),Martin Campbell,Pierce Brosnan,Sean Bean,https://pro.imdb.com/title/tt0113189
0264464,/title/tt0264464/?ref_=bo_cso_table_189,390,Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%,2002,"$30,053,627",PG-13,54,"Biography
    
        Crime
    
        Drama",DreamWorks Distribution,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,https://pro.imdb.com/title/tt0264464
1670345,/title/tt1670345/?ref_=bo_cso_table_190,391,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%,2013,"$29,350,389",PG-13,50,"Crime
    
        Mystery
    
        Thriller",Lionsgate,Louis Leterrier,Jesse Eisenberg,Common,https://pro.imdb.com/title/tt1670345
0212985,/title/tt0212985/?ref_=bo_cso_table_191,392,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001,"$58,003,121",R,7,"Crime
    
        Drama
    
        Thriller",Metro-Goldwyn-Mayer (MGM),Ridley Scott,Anthony Hopkins,Julianne Moore,https://pro.imdb.com/title/tt0212985
0110475,/title/tt0110475/?ref_=bo_cso_table_192,393,The Mask,"$351,583,407","$119,938,730",34.1%,"$231,644,677",65.9%,1994,"$23,117,068",PG-13,56,"Action
    
        Comedy
    
        Crime
    
        Fantasy",New Line Cinema,Chuck Russell,Jim Carrey,Cameron Diaz,https://pro.imdb.com/title/tt0110475
5117670,/title/tt5117670/?ref_=bo_cso_table_193,394,Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%,2018,"$25,010,928",PG,74,"Adventure
    
        Comedy
    
        Family
    
        Fantasy",Sony Pictures Entertainment (SPE),Will Gluck,James Corden,Fayssal Bazzi,https://pro.imdb.com/title/tt5117670
0111257,/title/tt0111257/?ref_=bo_cso_table_194,395,Speed,"$350,448,145","$121,248,145",34.6%,"$229,200,000",65.4%,1994,"$14,456,194",R,0,"Action
    
        Adventure
    
        Thriller",Twentieth Century Fox,Jan de Bont,Keanu Reeves,Dennis Hopper,https://pro.imdb.com/title/tt0111257
