,Title,Foreign_Gross,domestic_opening_gross,foreign_market_count,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,imdb_title_id,weighted_average_vote
724,Transformers: The Last Knight,475256474,44680073,54,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3371366,5.2
725,X-Men: Apocalypse,388491616,65769562,43,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3385516,6.9
726,Jack Reacher: Never Go Back,103449000,22872490,54,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,tt3393786,6.1
727,Murder on the Orient Express,249967538,28681472,70,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt3402236,6.5
728,Allegiant,113062817,29027348,54,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3410834,5.7
729,Ferdinand,211658819,13401586,69,3,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,tt3411444,6.7
730,Ice Age: Collision Course,344516030,21373064,53,4,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,tt3416828,5.7
731,War for the Planet of the Apes,343839601,56262929,70,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3450958,7.4
732,The Hateful Eight,101645094,4610676,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3460252,7.8
733,Despicable Me 3,770175831,72434025,67,3,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,tt3469046,6.3
734,Sing,363759497,35258145,66,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,tt3470600,7.1
735,Captain America: Civil War,745247771,179139142,48,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,tt3498820,7.8
736,Thor: Ragnarok,538922202,122744989,52,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,tt3501632,7.9
737,The LEGO Movie 2: The Second Part,86500000,34115335,43,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,tt3513498,6.6
738,Moana,394593566,56631401,53,4,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,tt3521164,7.6
739,Girls Trip,25380774,31201920,20,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt3564472,6.2
740,Cars 3,231029541,53688680,51,3,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,tt3606752,6.7
741,Incredibles 2,634223615,182687905,53,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,tt3606756,7.6
742,The Girl on the Train,97790824,24536265,58,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3631112,6.5
743,The Martian,401728227,54308575,69,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,tt3659388,8.0
744,Bridge of Spies,93164594,15371203,61,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,tt3682448,7.6
