,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy
820,1386703,Total Recall,"$58,877,969","$139,589,199","$25,577,758",PG-13,56,Sony Pictures Entertainment (SPE),Len Wiseman,Colin Farrell,Bokeem Woodbine,8,1,0,1,0,0,0,0,1,0,0
226,1436562,Rio,"$143,619,809","$340,246,709","$39,225,962",PG,69,Twentieth Century Fox,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,9,0,0,0,1,0,0,0,0,1,0
634,1267297,Hercules,"$72,688,614","$172,131,248","$29,800,263",PG-13,54,Paramount Pictures,Brett Ratner,Dwayne Johnson,John Hurt,6,1,0,0,0,0,0,0,1,0,0
68,295297,Harry Potter and the Chamber of Secrets,"$262,450,136","$617,120,782","$88,357,488",PG,30,Warner Bros.,Chris Columbus,Daniel Radcliffe,Rupert Grint,18,1,1,0,0,0,0,1,0,1,0
160,479952,Madagascar: Escape 2 Africa,"$180,010,950","$423,889,404","$63,106,589",PG,67,DreamWorks,Eric Darnell,Ben Stiller,Chris Rock,12,0,1,0,0,0,0,0,0,1,0
45,903624,The Hobbit: An Unexpected Journey,"$303,003,568","$714,000,000","$84,617,303",PG-13,56,Warner Bros.,Peter Jackson,Martin Freeman,Ian McKellen,8,1,1,0,0,0,0,1,0,1,0
313,993846,The Wolf of Wall Street,"$116,900,694","$275,100,000","$18,361,578",R,49,Paramount Pictures,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,7,0,0,0,0,0,0,0,0,0,0
220,3450958,War for the Planet of the Apes,"$146,880,162","$343,839,601","$56,262,929",PG-13,70,Twentieth Century Fox,Matt Reeves,Andy Serkis,Woody Harrelson,3,0,1,0,1,0,0,0,1,0,0
377,245429,Spirited Away,"$13,750,644","$341,716,432","$449,839",PG,21,Walt Disney Studios Motion Pictures,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,19,0,0,0,0,0,1,0,0,1,0
611,449010,Eragon,"$75,030,163","$175,395,349","$23,239,907",PG,71,Twentieth Century Fox,Stefen Fangmeier,Ed Speleers,Sienna Guillory,14,1,0,0,1,0,0,0,1,0,0
