,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,Rating,Metascore
98,98,6,6,317198,Bridget Jones: The Edge of Reason,40226215,224900703,8684055,R,60,Universal Pictures,Beeban Kidron,Renée Zellweger,Colin Firth,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.0,44.0
99,99,786,786,317303,Daddy Day Care,104297061,60136806,27623580,PG,24,Revolution Studios,Steve Carr,Eddie Murphy,Jeff Garlin,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5.5,39.0
100,100,767,767,317740,The Italian Job,106128601,69941570,19457944,PG-13,58,Paramount Pictures,F. Gary Gray,Donald Sutherland,Mark Wahlberg,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.0,68.0
101,101,255,255,317919,Mission: Impossible III,134029801,264449696,47743273,PG-13,68,Paramount Pictures,J.J. Abrams,Tom Cruise,Michelle Monaghan,14,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.9,66.0
102,102,262,262,319262,The Day After Tomorrow,186740799,365898772,68743584,PG-13,64,Twentieth Century Fox,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,16,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6.4,47.0
103,103,833,833,319343,Elf,174626840,47044933,32100000,PG,38,New Line Cinema,Jon Favreau,Will Ferrell,James Caan,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,6.9,64.0
104,104,46,46,320661,Kingdom of Heaven,47398413,170724214,19635996,R,65,Twentieth Century Fox,Ridley Scott,Orlando Bloom,Eva Green,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,63.0
105,105,694,694,322259,2 Fast 2 Furious,127154901,109195760,50472480,PG-13,56,Universal Pictures,John Singleton,Paul Walker,Tyrese Gibson,17,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.9,38.0
106,106,811,811,322330,Freaky Friday,110230332,50616000,22203007,PG,22,Walt Disney Studios Motion Pictures,Mark Waters,Jamie Lee Curtis,Lindsay Lohan,17,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,6.1,70.0
107,107,435,435,325703,Lara Croft Tomb Raider: The Cradle of Life,65660196,94439026,21783641,PG-13,55,Paramount Pictures,Jan de Bont,Angelina Jolie,Gerard Butler,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,
108,108,73,73,325710,The Last Samurai,111127263,343500000,24271354,R,28,Warner Bros.,Edward Zwick,Tom Cruise,Ken Watanabe,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.7,55.0
109,109,555,555,325980,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,348850097,46630690,PG-13,28,Walt Disney Studios Motion Pictures,Gore Verbinski,Johnny Depp,Geoffrey Rush,17,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8.0,63.0
110,110,738,738,327056,Mystic River,90135191,66460000,640815,R,25,Warner Bros.,Clint Eastwood,Sean Penn,Tim Robbins,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.9,84.0
111,111,532,532,327084,Over the Hedge,155019340,184776550,38457003,PG,63,DreamWorks,Tim Johnson,Bruce Willis,Garry Shandling,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,6.7,67.0
112,112,514,514,328828,American Wedding,104565114,128157821,33369440,R,50,Universal Pictures,Jesse Dylan,Jason Biggs,Alyson Hannigan,17,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
